============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 4941713.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.0380E+06 -9.7913E+05  5.9102E+03
0000002   9.2663E+05  1.0198E+06 -2.4708E+05
0000003   9.5253E+05  3.2716E+02 -3.9367E+05
0000004   3.4169E+05  3.3594E+05  1.3014E+05
0000005   1.2921E+06 -4.0365E+05  1.0024E+05
0000006   7.9507E+05 -9.1071E+05 -1.2594E+05
0000007   1.4133E+06 -3.2481E+05 -2.6651E+04
0000008   1.1927E+06 -1.4416E+05 -2.3452E+05
0000009   1.0531E+06  6.7137E+04  8.2154E+05
0000010   1.5036E+06 -4.3000E+05 -2.3070E+05
0000011   1.6509E+06 -5.2818E+05 -2.3590E+05
0000012   9.8246E+05 -4.6992E+04  1.2963E+05
0000013   1.1330E+06  1.2124E+05 -3.9949E+05
0000014   7.6687E+05  1.5933E+05 -8.0405E+04
0000015   4.0780E+05  3.4715E+05 -2.9753E+05
0000016   5.3227E+05  4.3184E+04  6.0803E+05
0000017   7.8696E+05  6.8004E+04  5.7092E+05
0000018   1.8590E+05  4.4932E+05  5.3645E+05
0000019   1.9256E+06 -6.1304E+05 -8.0172E+04
0000020   9.3240E+05 -4.0014E+05 -3.2713E+04
0000021   2.7396E+05 -1.2333E+04 -2.3894E+05
0000022   2.6195E+05  2.5568E+05 -6.9073E+04
0000023   5.9725E+05  1.8798E+05 -1.6383E+05
0000024   1.1487E+05  2.6278E+05 -3.1397E+04
0000025   6.7347E+05  4.2539E+05  4.9174E+05
0000026   8.4772E+05 -2.8038E+05 -3.1781E+04
0000027   6.7624E+05 -8.5022E+04  2.5830E+05
0000028   5.3493E+05  3.2063E+04  7.1328E+05
0000029   7.6555E+05 -7.0673E+05 -6.8309E+05
0000030   1.2368E+06  3.0595E+05  1.4189E+05
0000031   7.8345E+05 -9.6917E+05  1.3663E+04
0000032   9.3145E+05 -4.2663E+05 -1.9435E+05
0000033   1.0679E+06  7.1332E+05  5.3657E+05
0000034   7.6492E+05 -1.7635E+05  1.4833E+05
0000035   9.5050E+05 -1.0536E+05 -2.5276E+05
0000036   1.9750E+06  9.9075E+04  3.8410E+05
0000037   1.2224E+06  3.4030E+05 -5.8241E+04
0000038   2.3927E+05 -1.8355E+04  6.4168E+05
0000039   1.6281E+06 -8.7041E+05  2.6519E+04
0000040   1.4125E+06  6.6039E+04 -4.0137E+05
0000041   1.0012E+06  1.1570E+06 -6.6298E+05
0000042   5.8477E+05  1.1479E+06 -2.6913E+05
0000043   9.8788E+05  2.6400E+05 -2.5094E+05
0000044   1.0012E+06  6.9929E+05 -3.2864E+05
0000045   6.9506E+05  1.5341E+05 -1.0991E+05
0000046   4.0159E+05 -3.6561E+05 -8.9033E+05
0000047   6.6533E+05 -5.8459E+05  3.0430E+05
0000048   3.1103E+05  2.7007E+04 -1.6892E+05
0000049   1.2915E+06 -2.7862E+05 -1.9683E+05
0000050   9.4907E+05  1.2304E+05  8.4353E+04
0000051   8.5428E+05 -5.6268E+05  4.7409E+05
0000052   1.7654E+06  6.5447E+05 -5.0894E+05
0000053   1.5681E+06 -1.8895E+05 -9.6873E+04
0000054   1.2430E+06 -2.0852E+04 -3.6614E+05
0000055   1.8156E+06  4.1774E+05  8.2394E+04
0000056   4.3134E+05 -5.8692E+05  2.8661E+05
0000057   1.8698E+06  8.8171E+04 -3.0531E+05
0000058   7.9981E+05 -6.6204E+04 -4.1633E+05
0000059   4.6277E+05 -3.3631E+05 -2.5379E+05
0000060   1.1258E+06  5.5463E+05  7.2560E+05
0000061   8.1092E+05 -1.5041E+06  3.7762E+05
0000062   1.1652E+06  1.2710E+06  5.5440E+05
0000063   1.0931E+06 -5.5216E+05  5.4049E+05
0000064   1.2386E+06  2.0765E+05  5.5772E+04
0000065   1.1549E+06 -4.2975E+05 -3.8982E+05
0000066   7.1481E+05  1.3963E+05  1.4366E+05
0000067   8.6193E+05  3.4135E+05 -5.3829E+05
0000068   1.4733E+06 -4.3942E+05  3.5294E+05
0000069   1.0683E+06  2.0778E+05  4.5032E+05
0000070   5.7118E+05 -2.0948E+05 -1.3649E+05
0000071   9.9712E+05 -2.4731E+05  2.0644E+05
0000072   1.1287E+06  4.8888E+05  2.5074E+05
0000073   7.2447E+05  6.1109E+05  1.0636E+05
0000074   5.8093E+05 -3.0763E+05 -4.2378E+04
0000075   1.1781E+06 -5.0500E+04  1.0767E+03
0000076   9.0565E+05 -1.5420E+05 -2.5196E+05
0000077   3.1629E+05 -1.3867E+05  3.8301E+04
0000078   1.4880E+06  1.3620E+05 -7.4575E+05
0000079   8.3209E+05 -4.8978E+04 -1.5899E+04
0000080   1.3618E+05  1.6002E+05  1.2245E+05
0000081   1.0593E+06 -3.1502E+05 -1.3918E+04
0000082   9.7299E+05  4.0064E+05  8.4046E+03
0000083   1.4728E+06 -7.1533E+05  1.9254E+05
0000084   2.8654E+05  1.9950E+05  5.4014E+04
0000085   1.3818E+06  1.1145E+05 -8.3965E+05
0000086   4.9447E+05  2.2360E+04 -2.4007E+05
0000087   1.4700E+06 -7.6733E+05 -8.8172E+05
0000088   1.9642E+06 -1.4340E+05  3.1665E+05
0000089   7.0709E+05 -4.5951E+05 -3.3595E+05
0000090   1.7973E+06 -3.8660E+05 -2.0532E+04
0000091   9.3701E+05 -2.1269E+05 -7.0099E+03
0000092   1.6179E+06  3.7502E+05  4.0662E+05
0000093   1.1739E+06  5.7656E+05  1.1415E+05
0000094   1.7717E+06  4.4188E+05  3.8549E+05
0000095   1.6741E+06  1.5076E+04 -3.4810E+05
0000096   1.1965E+06 -2.9086E+05 -5.2495E+05
0000097   1.4602E+06  6.4215E+04 -5.9367E+05
0000098   8.6246E+05  3.5186E+05 -1.7179E+05
0000099   6.8389E+05 -6.0175E+05  3.4267E+05
0000100   2.3626E+05  4.7247E+04 -6.9513E+03
0000101   1.5334E+06  1.4295E+05  1.4459E+05
0000102   1.1652E+06 -3.5139E+05  2.5435E+05
0000103   1.5405E+06  2.5901E+05  6.2765E+05
0000104   5.4444E+05  3.0742E+05 -7.3368E+04
0000105   1.9162E+06 -5.9559E+05  1.9143E+05
0000106   1.5524E+06 -9.7081E+04 -1.2210E+05
