============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 5428675.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.1310E+06 -1.0586E+06 -3.0750E+05
0000002   8.2765E+05 -2.1384E+05 -2.8735E+05
0000003   9.7863E+05  1.8206E+05 -8.3835E+05
0000004   6.1852E+05  5.3448E+04  4.1911E+05
0000005   1.5728E+06 -2.0181E+05 -1.9959E+05
0000006   1.8351E+06 -4.8597E+05 -3.7414E+05
0000007   1.7389E+06 -5.3912E+05 -1.7638E+05
0000008   8.3022E+04 -3.9852E+05  3.9483E+05
0000009   1.6547E+06 -1.1639E+05  5.8362E+05
0000010   1.9996E+06  7.9454E+05 -9.1725E+05
0000011   1.7450E+06 -8.2993E+04 -6.0421E+05
0000012   1.0543E+06 -2.1307E+05 -1.3800E+05
0000013   5.0576E+05 -1.8366E+05 -2.7659E+05
0000014   1.2996E+06  9.1885E+03 -2.0674E+05
0000015   1.2737E+06  7.9945E+05  1.1346E+06
0000016   2.5153E+05  1.5068E+05 -1.3884E+04
0000017   8.8065E+05 -6.5814E+05 -4.7657E+05
0000018   1.9517E+05  2.2506E+05  1.7725E+05
0000019   2.1261E+06 -1.1688E+06 -7.8008E+04
0000020   6.5155E+05  2.0069E+05 -3.2825E+05
0000021   1.7924E+05 -1.4081E+05  6.0876E+04
0000022   9.4868E+05  2.9703E+05  5.8836E+05
0000023   1.3625E+06  1.0345E+05  1.8927E+05
0000024   9.3380E+05 -3.7877E+05  9.9392E+04
0000025   1.1001E+06  1.4464E+05  1.6032E+05
0000026   1.9328E+06 -7.8228E+05 -1.2795E+05
0000027   8.1014E+05  8.8732E+04  1.9358E+05
0000028   1.7523E+06 -3.5596E+05  2.2798E+05
0000029   1.5268E+06 -5.8601E+05 -1.0471E+06
0000030   2.0474E+06 -3.8997E+05  3.2164E+05
0000031   1.1626E+06  2.4400E+05 -3.8415E+05
0000032   1.9031E+06  7.4513E+04 -1.5568E+05
0000033   9.0976E+05 -1.2573E+05  3.4473E+05
0000034   2.8725E+05  2.9637E+05 -7.7323E+05
0000035   7.2026E+05  9.2169E+05 -2.5675E+03
0000036   2.4721E+06  2.9597E+05 -5.9807E+04
0000037   3.5638E+05  8.4026E+05  3.5954E+05
0000038   1.6643E+06 -5.3042E+05  2.4097E+05
0000039   6.7200E+05 -2.8629E+05 -3.8366E+05
0000040   1.2888E+06 -5.6305E+05  3.7086E+05
0000041   1.0374E+06 -3.9748E+05  3.8916E+05
0000042   8.3598E+05 -6.5676E+05 -1.0831E+05
0000043   9.8063E+05 -1.5513E+05 -9.3183E+04
0000044   1.6590E+06 -3.7169E+05 -1.7992E+05
0000045   9.8536E+05  1.1551E+05 -1.1084E+05
0000046   1.4141E+06  1.7396E+05  1.7952E+05
0000047   7.2294E+05  7.6486E+05  5.8742E+05
0000048   9.7958E+05  7.8142E+05 -3.9869E+04
0000049   5.6517E+05  1.6138E+05  9.9403E+04
0000050   1.7865E+06 -3.9965E+05 -1.1554E+05
0000051   1.4815E+06 -1.0848E+05 -2.9477E+05
0000052   1.4198E+06  3.9144E+05 -4.6737E+05
0000053   1.0391E+06 -2.0084E+05 -6.2028E+05
0000054   3.9522E+05  2.1632E+05 -4.1588E+05
0000055   1.3616E+06 -3.6607E+05  5.5865E+05
0000056   1.2422E+06  1.3587E+06  1.0061E+06
0000057   1.6470E+06  7.2083E+05 -1.5303E+05
0000058   8.3065E+04  5.7769E+04 -1.0215E+05
0000059   1.1175E+06 -4.2237E+05 -4.1511E+05
0000060   9.0029E+05  7.4833E+04  5.8697E+04
0000061   2.3192E+05 -6.8913E+05 -3.2806E+05
0000062   6.5264E+05 -5.8633E+05  2.5785E+05
0000063   8.8824E+05  1.3871E+05 -2.2486E+05
0000064   1.6118E+06  2.6346E+04  3.4970E+05
0000065   1.5411E+06  6.2634E+05 -2.5984E+05
0000066   7.2304E+05 -5.3158E+05  3.8709E+05
0000067   1.0730E+06 -1.8621E+05  4.4854E+04
0000068   1.1140E+06  8.8408E+04 -1.7616E+05
0000069   1.3806E+06 -6.3998E+05 -1.1090E+04
0000070   6.7374E+05 -1.3981E+05 -2.3968E+05
0000071   1.3433E+06  2.7351E+05 -2.7474E+05
0000072   1.0897E+06  1.3061E+04  1.9238E+05
0000073   1.1836E+05  2.2288E+05  1.6258E+05
0000074   1.3568E+06 -8.0797E+05  3.9541E+05
0000075   7.7749E+05  1.5929E+05  2.7196E+05
0000076   1.3411E+06  1.3603E+05 -2.6244E+05
0000077   1.0758E+06  3.9056E+04 -4.7099E+05
0000078   1.2547E+06 -5.6987E+05  4.6344E+05
0000079   7.1242E+05  3.7836E+05  1.3590E+05
0000080   9.3548E+05  2.7801E+05  3.7127E+05
0000081   1.0490E+06 -3.6345E+05 -2.8876E+05
0000082   8.3815E+05 -3.0815E+05 -1.2033E+04
0000083   4.4519E+05  6.9162E+05  3.1589E+05
0000084   1.2633E+06  2.5377E+05 -3.1854E+05
0000085   4.6047E+05  6.3642E+05 -5.6490E+04
0000086   8.5775E+05 -5.8968E+05  2.6541E+05
0000087   2.3127E+05  9.4170E+05 -4.2175E+05
0000088   4.1117E+05 -4.9952E+04  3.1108E+05
0000089   4.0569E+05 -4.7638E+04  3.1647E+05
0000090   1.4515E+06  6.2870E+05 -3.1457E+05
0000091   1.3650E+06  3.9277E+05 -3.6757E+05
0000092   1.4740E+06  1.8769E+05  2.4860E+05
0000093   2.0337E+06  2.0676E+05 -8.5956E+05
0000094   1.5985E+06  4.5564E+05 -4.5835E+05
0000096   3.5173E+05 -2.7861E+05  2.0876E+05
0000097   1.0122E+06  7.9425E+05  2.5463E+05
0000098   1.8221E+05  9.2637E+04  3.6861E+05
0000099   5.9682E+05 -6.5305E+05  8.4446E+05
0000100   1.0628E+06 -1.0399E+05  1.8524E+04
0000101   4.1951E+05  1.1861E+05 -2.9276E+05
0000102   1.9694E+06  6.2282E+05 -8.7397E+04
0000103   6.5935E+05  8.8548E+04 -4.6251E+05
0000104   5.9354E+05  1.6933E+05  6.9728E+05
0000105   1.8282E+06  1.9980E+05 -1.8876E+05
0000106   1.5276E+06 -1.9889E+05 -3.3733E+05
0000107   1.3589E+06 -4.9023E+05 -5.0665E+05
