============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = Ar (18)   Ion Mass= 039.9620
Energy  = 1325711.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=500000.E+02 A
  Layer # 1 - Density =0000.0018 g/cm3
  Layer # 1 -  100 % of Ar
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.1494E+05 -3.9520E+05 -1.4277E+05
0000002   6.0089E+05 -7.7373E+04  2.6239E+05
0000003   1.5833E+05 -2.4354E+04 -4.7047E+04
0000004   4.3001E+05  1.1966E+05  9.7189E+04
0000005   2.1865E+05  1.5584E+05  1.6818E+05
0000006   4.4562E+05  7.9926E+04  1.3070E+05
0000007   1.7024E+05  5.9045E+04  2.3192E+05
0000008   6.0928E+05  5.5670E+03  7.7655E+04
0000009   3.1697E+05 -1.2014E+04  1.4845E+05
0000010   1.8416E+05  1.0894E+05 -1.9037E+05
0000011   6.6737E+05 -7.9171E+04 -6.8883E+04
0000012   3.1826E+05  2.0767E+05 -4.0464E+04
0000013   5.5431E+05 -2.3973E+04  2.3556E+05
0000014   3.8935E+05 -2.4073E+05  1.5206E+04
0000015   2.2920E+05 -1.0845E+05  1.8733E+05
0000016   4.1377E+05 -1.2723E+05 -1.9505E+05
0000017   5.0760E+05  3.5289E+05  1.4973E+05
0000018   1.7261E+05 -9.7560E+04  1.4544E+05
0000019   1.6473E+05 -8.7669E+04  2.2332E+04
0000020   2.6949E+05  2.9162E+05 -3.2429E+04
0000021   2.6226E+05  4.9585E+04  1.3305E+05
0000022   2.6592E+05 -6.3393E+04 -1.0157E+04
0000023   2.2273E+05 -1.9520E+05  2.4851E+04
0000024   1.3639E+05  1.0169E+05  8.3314E+04
0000025   2.1215E+05  1.9155E+04  7.2255E+04
0000026   2.8262E+05  1.2696E+04 -2.7721E+04
0000027   2.6098E+05  8.5065E+04  1.5686E+04
0000028   4.0953E+05  4.5734E+05 -1.5627E+05
0000029   2.7315E+05  7.4112E+04 -4.2234E+04
0000030   3.4711E+05 -7.2223E+04 -1.5508E+04
0000031   4.8027E+05 -2.5005E+04  2.1265E+05
0000032   5.3317E+05 -9.1854E+04 -1.6656E+05
0000033   1.5354E+05  4.3066E+04 -3.6669E+04
0000034   2.5497E+05  8.1878E+04 -1.9805E+05
0000035   6.1145E+05  8.4900E+04 -2.1601E+05
0000036   1.3617E+05  7.6919E+04 -2.4865E+03
0000037   6.4160E+04  1.7108E+05 -4.6866E+02
0000038   2.8302E+05 -1.9170E+04 -3.5597E+04
0000039   4.5267E+05 -1.6009E+05 -2.6588E+05
0000040   3.6493E+05  1.5063E+05 -1.9601E+05
0000041   1.9382E+05 -3.6250E+04  1.9716E+05
0000042   2.6051E+05  2.6008E+04  2.3785E+04
0000043   1.8026E+05  7.8379E+03  7.3095E+04
0000044   2.6227E+05 -2.8732E+04 -1.3842E+05
0000045   2.5145E+05 -1.0475E+05 -1.4715E+05
0000046   2.3019E+05 -1.0470E+05  1.6159E+05
0000047   5.2409E+05 -8.3604E+04  1.9146E+05
0000048   1.9180E+05 -5.4611E+03 -5.3961E+03
0000049   2.5699E+05 -2.6331E+04  4.8164E+04
0000050   3.8188E+05  7.9216E+04  5.0018E+04
0000051   5.7418E+05 -2.6110E+05  1.8539E+05
0000052   2.9413E+05  1.0411E+05 -1.8328E+05
0000053   3.3436E+05  4.6320E+05  2.0943E+05
0000054   2.8535E+05  2.9021E+04 -6.8406E+04
0000055   3.4470E+05 -1.8540E+05 -8.3206E+03
0000056   5.9896E+05 -4.0973E+05 -7.6298E+04
0000057   2.3366E+05  3.8911E+04  1.1921E+05
0000058   3.0981E+05 -2.0820E+05 -1.5366E+05
0000059   2.7741E+05  1.3742E+05 -1.8058E+05
0000060   2.1659E+05  2.2436E+05 -1.3397E+04
0000061   3.0725E+04  1.0289E+05  8.6458E+04
0000062   5.8990E+05 -4.4667E+04  4.2581E+04
0000063   2.8356E+05  6.9249E+04  8.0145E+04
0000064   2.1023E+05  3.5780E+04  6.5861E+04
0000065   4.7124E+05  1.6666E+04  9.6359E+04
0000066   2.2555E+05 -1.6831E+05  1.0155E+04
0000067   3.1849E+05 -2.5495E+04 -1.8405E+05
0000068   3.6281E+05 -1.1719E+05 -1.2284E+05
0000069   6.5679E+05  1.3299E+05 -8.9960E+04
0000070   1.9366E+05 -4.0491E+03  1.7094E+04
0000071   1.1687E+05 -5.5045E+04 -2.3053E+04
0000072   2.7761E+05  1.3518E+05  3.2392E+04
0000073   2.6807E+05  2.6111E+05  1.1366E+05
0000074   3.7023E+05  1.3621E+05 -1.1998E+05
0000075   4.2958E+04 -6.4205E+03 -1.4548E+04
0000076   4.0672E+05 -2.3587E+05  1.2231E+04
0000077   3.3937E+05  6.6719E+03 -1.0613E+04
0000078   4.8502E+05 -3.5385E+05 -2.8757E+04
0000079   3.4626E+05 -8.3488E+04 -2.1201E+05
0000080   3.0534E+05  7.6075E+04  1.5391E+05
0000081   3.6068E+04 -1.5247E+05  1.5584E+04
0000082   6.1478E+05  4.6174E+04  5.0261E+04
0000083   5.0996E+05 -2.9547E+05 -1.1053E+05
0000084   3.3473E+05 -7.1094E+04 -9.6476E+04
0000085   3.6097E+05 -3.5522E+04 -8.4433E+04
0000086   2.0013E+05 -6.0559E+04 -1.7354E+05
0000087   1.5203E+05 -4.3064E+03  4.7939E+04
0000088   6.2563E+05  1.9534E+05  5.3006E+04
0000089   3.7130E+04 -9.4568E+04 -3.5150E+04
0000090   3.3180E+05  1.0212E+05 -2.3784E+05
0000091   4.6506E+05  2.3761E+04  2.1117E+05
0000092   5.6596E+05 -5.2580E+04  4.7042E+04
0000093   4.1496E+05 -6.8885E+03  5.1037E+04
0000094   3.1780E+05  3.1003E+05  6.2560E+04
0000095   2.4224E+05  1.8959E+05  1.5915E+05
0000096   3.5496E+05  5.1217E+03  8.1500E+04
0000097   1.1217E+05  1.8361E+05  1.8862E+04
0000098   4.1527E+05  5.5036E+04  1.7132E+05
0000099   3.8978E+05 -4.3935E+04  8.4601E+04
0000100   2.5598E+05 -1.9185E+05  8.5237E+04
0000101   4.4392E+05 -1.8567E+05  8.5570E+04
0000102   2.1875E+05 -1.6488E+05  1.4837E+05
0000103   6.3559E+04  3.0827E+04  8.7006E+03
0000104   1.5098E+05 -2.3391E+05  1.6738E+04
0000105   3.2348E+05 -8.1834E+04 -1.3812E+04
0000106   3.6276E+05  2.5329E+05 -1.0873E+04
